utterance,label
also I was the point person on my company’s transition from the KL-5 to GR-6 system.,0
You must’ve had your hands full.,0
That I did. That I did.,0
So let’s talk a little bit about your duties.,0
My duties?  All right.,1
"Now you’ll be heading a whole division, so you’ll have a lot of duties.",0
I see.,0
But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,0
Good to know.,0
We can go into detail,0
No don’t I beg of you!,2
"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",0
Really?!,1
Absolutely.  You can relax,0
But then who? The waitress I went out with last month?,2
You know? Forget it!,2
"No-no-no-no, no! Who, who were you talking about?",2
"No, I-I-I-I don't, I actually don't know",2
Ok!,0
"All right, well...",0
"Yeah, sure!",0
"Hey, Mon.",0
Hey-hey-hey. You wanna hear something that sucks.,0
Do I ever.,1
Chris says they’re closing down the bar.,2
No way!,2
"Yeah, apparently they’re turning it into some kinda coffee place.",0
Just coffee! Where are we gonna hang out now?,2
Got me.,2
Can I get a beer.,0
"Hey, did you pick a roommate?",0
You betcha!,1
Is it the Italian guy?,0
"Um-mm, yeah right!",1
"Oh my God, oh my God! Poor Monica!",2
"What, what, what?!",2
What?!,2
He was with her when he wrote this poem.,0
"Look,  'My vessel so empty with nothing inside.",0
"Now that I've touched you, you seem emptier still.'",0
"He thinks Monica is empty, she is the empty vase!",2
"Oh, totally. Oh, God, oh, she seemed so happy too.",2
Done.,0
Hey!,1
Hi!,1
What are you doing here?,1
"Ah y'know, this building is on my paper route so I...",0
Oh.,0
Hi.,0
Hi.,0
How’d did it go?,0
"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",1
I’m so proud of you.,1
Me too!,1
"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",2
I know.,0
Yeah.,0
Yeah.,0
Ameri-can.,0
Ameri-ccan.,0
Ameri-can. Y'know it’s a,0
Everybody!!,1
Good job Joe! Well done! Top notch!,1
You liked it? You really liked it?,1
"Oh-ho-ho, yeah!",1
Which part exactly?,0
The whole thing! Can we go?,0
"Oh no-no-no, give me some specifics.",2
"I love the specifics, the specifics were the best part!",1
"Hey, what about the scene with the kangaroo? Did-did you like that part?",0
I was surprised to see a kangaroo in a World War I epic.,2
You fell asleep!!,2
There was no kangaroo!,2
They didn’t take any of my suggestions!,2
That’s for coming buddy.,0
I’ll see you later.,0
Don’t go!,2
I’m sorry.,2
I’m so sorry!,2
Look!,2
This guy fell asleep!,2
He fell asleep too!,2
Be mad at him!,2
"Or, call an ambulance.",2
"Okay, look, I think we have to tell Rachel she messed up her dessert.",0
"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",2
"Yes, and it is my dying wish to have that ring.",0
"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",0
"Okay, that’s enough honey!",0
I don’t know.  Let me see the ring.,0
"Great! Okay, here.",1
All right.,0
Thank you. Thank you. Thank you!  And,1
What've you been up to?,0
"Oh, you know, the usual, teaching aerobics, partying way too much.",0
"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",0
Can you hold on a moment? I have another call.  I love her.,1
I know.,0
I'm back.,0
"So, are we gonna get together or what?",0
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",0
"Great, I'll see you then.",0
Ok.  Ok. Having a phone has finally paid off.,1
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",0
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",0
Oh my god. You are pure evil.,2
"Ok, pure evil , horny and alone . I've done this",2
Nobody!,2
Nobody respects the bucket!,2
You wouldn't believe what people put in here!,2
Look!,2
"Okay, does this look like a garbage can to you?",2
No.,0
This is my wedding.,0
"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",2
Fine. You’ll-you’ll watch it on video when we get back.,0
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,1
Thank you.,0
Thank you.,0
"All right, let’s go! Bye, Pheebs!",1
"Bye, Pheebs!",1
London baby!!,1
"Oh, do you need a hug? You don’t have to bring me anything!",1
Hey!,0
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,1
"That’s great, but shouldn’t you be on the toilet right now?",2
What?!,2
What’s wrong with you?,2
Nothing!,0
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",2
"But um, I don’t think it’s anything serious.",0
This sounds like a hernia. You have to—you-you go to the doctor!,2
"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",2
That’s a hernia.,2
Why did I have to start working out again?  Damn you 15s!,2
I love your place! Where is this guy from?,1
Uh that’s an eighteenth century Indian artifact from Calcutta.,0
"Oh wow! So, you’re more than just dinosaurs.",1
So much more.,0
"Well, well to sum up, we’re having fun, you look young.",0
Okay,0
But that’s not enough. So… So…here’s a key to my apartment.,0
Really?!,1
Really.,0
You don’t think this is too fast.,0
Get Out!,2
"Ross, can I talk to you for a minute?",0
"Yes, please!  So, what's going on?",0
"Uh, well... Joey and I broke up.",2
"Oh my God, wh-what happened?",2
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",2
I knew that was him!,2
"Anyway I just, uh, I think it's for the best.",2
"Hey, you ok?",0
I guess.,2
There was hum...  there was another reason that I thought it was time to end it with Joey.,0
I started to realize that I was having feelings for someone  else.,0
"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",0
"Oh, professor Clerk we're kind of in the middle of a conversation, here.",0
"Yeah, can you guys just throw him in the pool later?",0
Or we could throw you both in,1
"Ok, gentlemen!",2
Please!,2
Aren't we a little old for this?,2
"I mean, we're scientists, right?",0
We're academics.,2
And most importantly I... you-you will have to catch us first.,1
"GO, GO, GO!",1
"Go, go, go!",1
"Oh yeah, now everybody wants to be under this hat!",1
Oy!!,2
What’s with all this sand?,2
"Oh, yeah, Bob said there might be flood damage.",0
"Yeah, either that, or he has a really big cat.",0
"Okay, see that blind guy right there? I'm gonna bash his head in later.",2
"Oh umm, my big scene is coming up. Big scene coming up.",1
"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",0
Rach? What are you doing?,0
"Oh boy, I just can't watch. It's too scary!",2
It's a diaper commercial.,0
"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",2
Pizza delivery!,1
I'll get it! I will get that!,1
Hi!,1
Hi!,1
"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",0
"Uhh, the ball thing.",0
Yeah?,0
"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",1
"Uhh,",0
Okay!,1
Uh-oh.,2
What?,0
I have to pee. And Rachel's in the bathroom!,2
"Man, I didn't think we were gonna make it!",1
"I know!  Don't switch hands, okay?",2
Hey.,0
Hey!,0
How did it go with Erin?,0
"Oh, unbelievable! We had the best time!",1
"Yay!! Oh so, you’re not, you’re not mad at us anymore?",1
No!,1
No!,1
No!,1
You guys were totally right!,1
This is so much better than the first time we went out.,1
Y’know?,0
"That was so awkward, we were really nervous.",0
Didn’t you sleep together?,0
"Yeah, that really calms me down.",0
And!,1
We have so much in common!,1
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",1
"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",1
Okay.,0
How does she do that?,2
I cannot sleep in a public place.,0
Would you look at her? She is so peaceful.,1
Oh! What what what! ...Hi.,1
"It's okay, y'know, you just nodded off again.",0
What's going on with you?,1
I got no sleep last night!,2
Why?,0
"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",2
"Oh, and deaf.",0
"So they're constantly, like, having to reassure each other that they're having a good time.",0
You have no idea how loud they are!,2
"Well, if you want, you can stay with Rachel and me tonight.",0
Thanks.,1
Ew! What is that? Something exploded!,2
"It's just her water breaking. Calm down, will you?",0
"Water breaking, what do you mean? What's that, water breaking?",2
"Breathe, breathe, breathe.",0
"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",2
Okay! You don’t think I thought of that?,2
How can you not know which one?,2
I mean that’s unbelievable.,1
"I mean, was it Gina?",0
Which one is Gina?,0
"Dark, big hair, with the airplane earrings.",0
"No, no, no, that’s Dina.",0
"You see you can’t tell which one is which either, dwha!!",2
"I don’t know, you thought ‘See you Saturday’ was funny.",0
"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",0
You guys would never want to go to a lecture with me.,0
Pa-haa!! I would love to go with you.,1
Really!?,1
"Yeah, hey I-I have clothes, I even pick them out.",0
"I mean for, for all you know I could be a fashion..... monger.",0
"Okay. Honey, I would love for you to go with me.  What?",1
"What should I wear, now I’m all nervous.",2
": I know, we did it!! Hey, that was incredible, huh?!",1
"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",1
": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",1
"Oh well, okay, good luck.",1
: Yeah.,0
Unless you wanna practice the Foxtrot again? Or-or the Tango?,0
": Ahh, thanks but no. You see I-I think I’m ready to dance with girls.",0
Okay.,0
: Yeah.,0
Go get ‘em Treeger.,0
": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",0
Really?,1
": Yeah, you could dance real good with her, she’s the same size as me.",0
"No, I’m good.",0
"Oh God, this is so nerve wracking! How-how do you do this?",2
"Well, unfortunately, I don't get many callbacks so",0
Is it a good sign that they asked us to hang around after the audition?,1
Who knows?,0
"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",0
Yes!! I knew it!!  Bye-bye! So long! Later!,1
Oh this is great! I might actually get to play Ben's dad!,1
Yeah!,1
"Actually, that can't happen.",0
"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",0
So it'll be either you two  or you two.,0
"Man, this is gonna be kinda weird.",2
"Yeah, it is.",0
"No, we-we're gonna be like best friends, that's why it's gonna be weird.",0
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",2
"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",1
Please!,2
Are you kidding?,2
"I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.",2
"And it’s all because of you, wonderful, amazing you.",1
I think you’ve got concussion.,2
"No, no, I’m serious. Thank you.",1
You’re welcome.  I’m sorry. Did I hurt you?,2
"It’s worth the pain.  Y’know what, you know what? It’s not.",2
Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,1
"I do! Want a hint? huh? ""I do""  ""I do"".",1
"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",0
David is going to propose to Phoebe.,1
What?  Why?,2
"Chandler, we have talked about this.",2
You are not supposed to give people advice!,2
Now couldn't you just have made some sort of inappropriate joke?,2
I,0
They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,2
"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",2
"Man, that's some",1
"Oh, that's not what you want...",0
"This is my father, Paul Stevens. Dad, this is Ross Geller.",0
It-it’s great to meet you Paul.,1
I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.,0
"Of course, of course, Mr. Stevens.",0
"So Ross, what your problem?",2
Eh-wh—Excuse me?,1
Why can’t you get a girlfriend your own age?,2
That’s funny. Umm….  It’s not funny.,2
I,0
Okay.,0
"I can, I can see that.",0
"Umm, but I think if you give me umm, one chance I can, I can change your mind.",2
Okay.,0
What?,0
Okay. I’ll give you one chance to change my mind.  You got one minute.,2
Daddy!,2
"Oh well, it’s not on TV yet.",0
"Well, then it’s not on the wall yet.",0
"Okay, fine, I will bring you a tape, huh?",0
"So umm, now do you have any of Matt Lauer’s clothes here? Maybe? Just ones that haven’t been cleaned yet?",0
Ooooohh!,2
"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",0
Was it...?,2
"Oh, boy scouts could have camped under there.",0
"""Ooo,"" what?",1
Uma Thurman.,0
Oh!,1
The actress!,1
Thanks Rach.,0
So what are you gonna do?,2
You have to tell her!,1
You have to tell her!,1
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",2
Guys?,2
Guys?,2
"Oh, yeah, you have to tell her.",0
Feminist issue. That's where I went!,0
She is gonna hate me.,2
"Yeah, well...",0
Will you marry me?,2
It’s the big night! We wanted to wish you good luck!,1
"Yeah, yeah you have the ring?",0
"Yeah, right here in my pocket.  Pheebs?",0
Oh! Oop!,1
"Okay, now will you guys get out of here? I want this is to be a surprise and she’s gonna know.",0
Yeah-yeah you guys. Get out of here!,0
Hi guys.,0
You are beautiful.,1
"Oh, thank you!   What’s going on?",1
We’re just really…very excited about this charity event that we have to go to.,0
"Okay umm, Ross?",0
"I'm-I'm really warm, so I'm going to be taking off my sweater.",0
"Now, I'm just letting you know that this is",0
Yep! That's hilarious!,1
I'm sorry. I'm done. I'm done.,0
"Y'know, last night was embarrassing for you too.",0
"No, not really. I mean you've seen me naked hundreds of times.",0
Uh-huh. But it was a first for the rest of my building.,0
"Okay. All right, that's true! But y'know I just don't embarrass that easily.",0
What?! You totally get embarrassed!,1
"No, I don't! Ross, I think I'm just a more secure person than you are.",0
Is that so?,0
Yeah.,0
Hey lady! I don't care how much you want it! Okay?! I am,2
I can’t believe it!,1
I did it!,1
I rode a bike!,1
I never thought I’d be able to do that!,1
Thank you Ross.,1
"Oh hey, don’t thank me, thank yourself. You’re the one who faced her fears and ultimately overcame them.",1
"Hey, both you guys should be up there with me.",0
"I mean, you two are-are my… I mean, I’m lucky to have just one good",0
Thanks man.,0
I gotta go check something over here.,0
What a baby.,2
Total wuss!,2
"Okay, we have a lot of options here, a number of prototypes for you to try on.",0
Wow! This looks great!,1
"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",1
And-and-and-and-and the toothpicks?,2
You kissed another woman!,2
Call it even?!,0
Okay!,1
"Well, I’m gonna go get these  in some water.",0
Wait you stole those from these people’s wedding?,2
"No-no, I took them from the hotel lobby.",0
"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.",2
Hey!,1
My sweater!,1
I’ve been looking for this for like a month!,1
Oh my God!!,2
